90.95,400.39
116.61,420.92
48.17,366.33
107.00,414.23
211.61,497.22
47.57,365.72
147.82,445.89
293.25,562.46
205.45,492.29
213.11,498.99
271.49,545.52
33.77,354.64
299.85,567.98
154.28,451.10
133.27,434.76
190.60,480.29
215.96,500.57
218.66,503.29
38.57,359.11
4.35,331.36
220.31,504.91
192.10,481.33
135.82,436.32
207.10,494.27
263.83,539.65
140.62,440.26
114.81,419.86
74.44,387.89
55.68,372.96
286.94,557.42
77.29,389.65
217.16,501.31
132.97,434.65
198.85,486.94
106.10,413.41
231.87,514.13
193.45,482.98
81.64,393.89
207.25,494.40
87.64,398.69
168.53,463.15
189.39,479.88
205.30,492.24
257.08,534.36
299.40,567.48
201.55,489.82
99.35,407.67
299.70,567.89
69.93,384.27
96.35,404.80
255.28,532.08
139.72,439.88
25.51,348.95
60.48,376.03
138.82,439.57
216.56,500.99
60.18,375.71
0.45,328.73
14.26,339.39
77.14,389.58
289.04,559.82
203.05,490.28
189.09,479.81
189.99,480.15
140.47,440.06
255.13,531.93
225.56,508.96
188.64,479.47
221.06,505.10
23.86,347.27
37.22,358.28
85.09,395.65
223.61,506.63
63.18,379.01
25.06,348.62
155.63,452.58
93.05,402.69
152.63,450.17
255.88,532.84
173.94,466.98
222.71,505.83
261.88,537.41
73.09,386.19
52.23,369.55
58.53,374.58
57.63,374.35
76.84,389.62
210.26,495.93
203.95,490.73
200.35,488.73
120.81,424.88
250.48,528.92
134.62,435.26
139.12,439.73
5.70,333.04
168.38,463.03
23.11,346.23
263.08,538.94
287.54,558.36
84.79,395.44
26.11,349.18
192.85,482.27
131.17,433.34
78.04,390.02
146.47,445.11
57.33,374.33
66.93,381.37
10.51,336.27
238.62,519.58
129.06,430.92
233.67,515.34
286.49,556.98
118.86,423.54
10.96,336.70
213.86,499.62
255.58,532.50
105.80,413.06
230.07,511.76
197.20,485.54
3.00,329.99
24.46,347.98
87.94,399.00
129.81,431.57
80.59,392.79
214.76,500.19
96.05,404.70
152.03,449.97
160.58,456.02
298.05,566.17
73.39,386.53
169.73,464.36
271.64,545.53
178.59,470.49
258.73,535.46
85.24,395.74
168.23,462.81
146.77,445.21
123.51,426.58
160.28,455.78
95.45,404.53
18.61,343.41
30.77,353.11
226.16,509.54
205.00,491.73
108.50,414.84
171.39,465.10
146.32,444.99
291.75,561.23
102.95,410.09
253.18,530.53
264.43,540.19
92.90,402.58
122.46,425.47
45.02,364.33
111.21,416.86
280.94,552.82
176.34,469.60
45.62,364.47
249.72,527.91
229.46,511.26
142.27,441.62
8.70,334.61
190.45,480.22
63.63,379.32
224.36,507.48
61.08,376.72
69.63,384.21
298.50,566.55
218.51,503.04
44.42,364.01
213.26,499.21
206.05,493.02
46.07,364.58
130.12,432.14
165.53,460.28
29.56,351.63
157.43,454.60
163.73,459.54
116.91,421.20
218.21,502.63
184.89,475.60
119.16,423.82
101.75,409.55
74.14,387.43
271.04,545.39
215.36,500.28
86.89,397.81
106.70,413.85
283.94,555.56
40.67,360.16
136.87,437.67
203.20,490.52
80.14,392.27
279.44,551.24
165.68,460.40
78.34,390.18
17.41,341.93
104.00,410.86
88.24,399.19
166.43,460.77
267.28,541.56
102.05,409.66
175.59,469.12
266.83,541.20
197.05,485.51
55.23,372.30
155.93,452.98
78.94,390.77
181.59,473.89
154.13,450.94
50.13,368.72
182.19,474.45
188.19,479.20
61.83,377.83
180.84,472.93
135.37,435.82
17.11,341.62
8.55,334.52
49.37,367.90
65.88,380.17
109.70,415.33
197.50,485.68
224.06,507.10
277.34,550.39
61.23,377.05
121.56,424.99
267.73,542.02
107.30,414.37
202.90,490.33
122.91,425.86
50.73,369.13
132.82,434.69
180.69,472.59
75.94,389.30
201.85,489.92
217.76,502.05
97.25,405.41
286.79,557.33
95.75,404.67
66.78,381.16
119.91,424.46
124.71,428.10
194.80,484.52
121.11,424.80
285.74,556.32
103.25,410.23
287.99,558.80
74.29,387.61
2.10,329.42
282.44,554.54
52.53,369.65
21.16,344.53
57.93,374.38
105.50,412.62
296.25,565.55
189.69,480.12
183.24,475.05
31.37,353.58
32.57,354.31
0.15,328.53
150.08,448.44
80.89,393.18
11.86,337.78
152.78,450.16
93.95,403.73
274.49,547.59
238.47,519.32
281.54,553.56
257.53,534.62
43.52,363.32
20.71,344.44
24.61,348.23
246.72,525.46
40.82,360.10
249.12,527.11
182.34,474.43
288.14,559.05
83.74,394.73
256.03,532.90
274.79,547.93
90.20,399.88
186.84,477.54
1.65,329.25
251.68,529.95
5.25,332.52
14.41,339.38
60.93,376.55
258.88,535.35
13.51,339.03
221.51,505.27
180.09,471.99
140.32,440.16
96.20,404.78
62.13,378.05
3.15,329.94
148.27,446.25
149.47,447.82
21.46,344.76
177.84,470.29
285.14,555.94
185.79,476.29
179.94,471.84
79.39,391.32
96.50,404.96
115.56,420.06
253.63,530.71
282.59,554.76
227.21,510.23
18.91,343.62
206.50,493.57
229.76,511.55
16.81,341.31
5.10,332.28
169.58,464.29
162.68,458.67
108.05,414.73
44.27,364.00
81.19,393.42
110.91,416.60
251.38,529.74
296.10,565.35
80.29,392.39
45.32,364.34
75.19,388.72
176.04,469.40
28.81,350.70
196.90,485.37
194.95,484.58
101.30,409.53
151.73,449.76
74.59,388.02
46.82,365.11
297.15,565.84
